,tcgplayer,cardkingdom,manapool,name,set,nk
583338,0.19,0.35,0.15,Young Wolf,The List Reprints,youngwolf
204606,3.71,2.99,2.4,"Yuriko, the Tiger's Shadow",The List Reprints,yurikothetigersshadow
658357,1.05,2.29,1.21,"Carnage, Crimson Chaos",Play Promos,carnagecrimsonchaos
658360,73.74,99.99,78.15,Spectacular Spider-Man,Play Promos,spectacularspiderman
660652,41.33,42.99,44.46,Day of Black Sun,Unique and Miscellaneous Promos,dayofblacksun
169796,,,,Flooded Strand,Unique and Miscellaneous Promos,floodedstrand
650783,29.39,23.99,27.42,Get Lost,Unique and Miscellaneous Promos,getlost
660650,0.54,0.49,0.28,Gran-Gran,Unique and Miscellaneous Promos,grangran
251640,0.4,0.59,0.4,Hidden Strings,Unique and Miscellaneous Promos,hiddenstrings
660500,,,,"Momo, Friendly Flier",Unique and Miscellaneous Promos,momofriendlyflier
701596,,,,Sazh's Chocobo,Unique and Miscellaneous Promos,sazhschocobo
608001,95.29,159.99,118.05,Terror of the Peaks,Unique and Miscellaneous Promos,terrorofthepeaks
251639,0.17,0.39,0.15,Wild Slash,Unique and Miscellaneous Promos,wildslash
282013,,,,"Yuriko, the Tiger's Shadow",Unique and Miscellaneous Promos,yurikothetigersshadow
60147,,,,Avacyn's Pilgrim,FNM Promos,avacynspilgrim
38073,,,,Brainstorm,FNM Promos,brainstorm
38063,,,,Carrion Feeder,FNM Promos,carrionfeeder
121361,,,,Crumbling Vestige,FNM Promos,crumblingvestige
95916,,,,Disdainful Stroke,FNM Promos,disdainfulstroke
58137,,,,Dismember,FNM Promos,dismember
38091,,,,Duress,FNM Promos,duress
38092,,,,Elves of Deep Shadow,FNM Promos,elvesofdeepshadow
79220,,,,Elvish Mystic,FNM Promos,elvishmystic
38095,,,,Eternal Witness,FNM Promos,eternalwitness
144780,,,,Fatal Push,FNM Promos,fatalpush
67404,,,,Gitaxian Probe,FNM Promos,gitaxianprobe
38106,,,,Goblin Bombardment,FNM Promos,goblinbombardment
182126,,,,Light Up the Stage,FNM Promos,lightupthestage
38124,,,,Llanowar Elves,FNM Promos,llanowarelves
164093,,,,Opt,FNM Promos,opt
