card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,ck_cal,ck_cal_pct,band,mp_market,productId
Emeritus of Truce,1.27,0.99,0.61,-22.047244094488192,-51.96850393700787,1960.0,live,0.84744,-33.27244094488189,$1-2,,688984.0
Mind into Matter,0.4,0.49,0.15,22.5,-62.5,2341.0,live,0.41944,4.85999999999999,$0-1,0.48,688691.0
Boggart Trawler,0.87,2.29,0.7000000000000001,163.2183908045977,-19.540229885057464,2703.0,live,1.96024,125.31494252873566,$0-1,,552873.0
Namor the Sub-Mariner,7.76,12.99,6.7700000000000005,67.39690721649485,-12.757731958762877,2244.0,live,11.11944,43.29175257731958,$5-10,9.15,668572.0
Molten-Core Maestro,0.66,0.49,0.15,-25.75757575757576,-77.27272727272727,2493.0,live,0.41944,-36.44848484848485,$0-1,0.35,686584.0
Collective Resistance,1.29,2.99,1.15,131.78294573643413,-10.852713178294584,2489.0,live,2.55944,98.40620155038758,$1-2,1.36,552623.0
Bruce Banner,6.42,9.99,5.72,55.60747663551402,-10.903426791277262,1860.0,live,8.55144,33.2,$5-10,,668460.0
Iron Man Armor,3.97,8.49,3.86,113.85390428211586,-2.770780856423182,2076.0,live,7.26744,83.05894206549117,$2-5,4.29,697073.0
Glaring Fleshraker,0.8,2.29,0.41,186.25,-48.75000000000001,3226.0,live,1.96024,145.03,$0-1,0.74,552821.0
Goldspan Dragon,6.17,7.49,5.63,21.393841166936795,-8.752025931928689,2075.0,live,6.41144,3.913128038897891,$5-10,5.42,687343.0
"The Sentry, Golden Guardian",0.36,0.49,0.15,36.11111111111112,-58.333333333333336,2683.0,live,0.41944,16.51111111111111,$0-1,0.35,668458.0
Watery Grave,9.56,15.99,9.33,67.25941422594141,-2.405857740585778,1870.0,live,13.68744,43.17405857740585,$5-10,9.28,638914.0
Faerie Mastermind,11.92,15.99,10.6,34.144295302013425,-11.073825503355708,1949.0,live,13.68744,14.827516778523494,$10-20,10.18,687365.0
Overgrown Tomb,9.33,13.99,7.81,49.94640943193998,-16.29153269024652,1919.0,live,11.97544,28.354126473740628,$5-10,8.38,656709.0
Arcane Signet,0.69,0.99,0.44,43.478260869565226,-36.23188405797101,2706.0,live,0.84744,22.81739130434783,$0-1,0.5,687531.0
"Ozolith, the Shattered Spire",5.0,7.49,4.82,49.8,-3.5999999999999943,1915.0,live,6.41144,28.2288,$5-10,4.66,687556.0
Moonshaker Cavalry,6.19,8.99,6.12,45.23424878836833,-1.130856219709213,2036.0,live,7.69544,24.32051696284328,$5-10,6.06,687353.0
Heroic Feast,0.3,0.49,0.15,63.33333333333334,-50.0,3346.0,live,0.41944,39.81333333333333,$0-1,0.31,697048.0
Ark of Hunger,0.36,0.49,0.15,36.11111111111112,-58.333333333333336,2078.0,live,0.41944,16.51111111111111,$0-1,0.34,688665.0
Enduring Vitality,16.73,17.99,14.5,7.531380753138063,-13.329348475791994,1755.0,live,15.399439999999998,-7.953138075313819,$10-20,16.67,578080.0
